Season,Episode,Name,Director,Writer,Airdate,Viewership
7,21,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,21-Apr-11,6.85
7,22,"Goodbye, Michael†",Paul Feig,Greg Daniels,28-Apr-11,8.42
7,23,The Inner Circle,Matt Sohn,Charlie Grandy,5-May-11,6.9
7,24,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,12-May-11,6.45
7,25,Search Committee,Jeffrey Blitz,Paul Lieberstein,19-May-11,7.29
7,26,Search Committee,Jeffrey Blitz,Paul Lieberstein,19-May-11,7.29
8,1,The List,B. J. Novak,B. J. Novak,22-Sep-11,7.64
8,2,The Incentive,Charles McDougall,Paul Lieberstein,29-Sep-11,6.7
8,3,Lotto,John Krasinski,Charlie Grandy,6-Oct-11,5.82
8,4,Garden Party,David Rogers,Justin Spitzer,13-Oct-11,6.08
8,5,Spooked,Randall Einhorn,Carrie Kemper,27-Oct-11,5.53
8,6,Doomsday,Troy Miller,Daniel Chun,3-Nov-11,6.15
8,7,Pam's Replacement,Matt Sohn,Allison Silverman,10-Nov-11,5.96
8,8,Gettysburg,Jeffrey Blitz,Robert Padnick,17-Nov-11,5.5
8,9,Mrs. California,Charlie Grandy,Dan Greaney,1-Dec-11,5.71
8,10,Christmas Wishes,Ed Helms,Mindy Kaling,8-Dec-11,5.79
8,11,Trivia,B. J. Novak,Steve Hely,12-Jan-12,5.9
8,12,Pool Party,Charles McDougall,Owen Ellickson,19-Jan-12,6.02
8,13,Jury Duty,Eric Appel,Aaron Shure,2-Feb-12,5.31
8,14,Special Project,David Rogers,Amelie Gillette,9-Feb-12,5.19
8,15,Tallahassee,Matt Sohn,Daniel Chun,16-Feb-12,4.38
8,16,After Hours,Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,23-Feb-12,5.02
8,17,Test the Store,Brent Forrester,Mindy Kaling,1-Mar-12,4.95
8,18,Last Day in Florida,Matt Sohn,Robert Padnick,8-Mar-12,4.89
8,19,Get the Girl,Rainn Wilson,Charlie Grandy,15-Mar-12,4.87
8,20,Welcome Party,Ed Helms,Steve Hely,12-Apr-12,4.39
8,21,Angry Andy,Claire Scanlon,Justin Spitzer,19-Apr-12,4.35
8,22,Fundraiser,David Rogers,Owen Ellickson,26-Apr-12,4.17
8,23,Turf War,Daniel Chun,Warren Lieberstein & Halsted Sullivan,3-May-12,4.44
8,24,Free Family Portrait Studio,B. J. Novak,B. J. Novak,10-May-12,4.49
9,1,New Guys,Greg Daniels,Greg Daniels,20-Sep-12,4.28
9,2,Roy's Wedding,Matt Sohn,Allison Silverman,27-Sep-12,4.13
9,3,Andy's Ancestry,David Rogers,Jonathan Green & Gabe Miller,4-Oct-12,4.14
9,4,Work Bus,Bryan Cranston,Brent Forrester,18-Oct-12,4.28
9,5,Here Comes Treble,Claire Scanlon,Owen Ellickson,25-Oct-12,4
9,6,The Boat,John Krasinski,Dan Sterling,8-Nov-12,4.83
9,7,The Whale,Rodman Flender,Carrie Kemper,15-Nov-12,4.16
9,8,The Target,Brent Forrester,Graham Wagner,29-Nov-12,3.88
9,9,Dwight Christmas,Charles McDougall,Robert Padnick,6-Dec-12,4.16
9,10,Lice,Rodman Flender,Niki Schwartz-Wright,10-Jan-13,4.54
9,11,Suit Warehouse,Matt Sohn,Dan Greaney,17-Jan-13,4.15
9,12,Customer Loyalty,Kelly Cantley,Jonathan Green & Gabe Miller,24-Jan-13,4.19
9,13,Junior Salesman,David Rogers,Carrie Kemper,31-Jan-13,4.45
9,14,Vandalism,Lee Kirk,Owen Ellickson,31-Jan-13,3.97
9,15,Couples Discount,Troy Miller,Allison Silverman,7-Feb-13,4.15
9,16,Moving On,Jon Favreau,Graham Wagner,14-Feb-13,4.06
9,17,The Farm,Paul Lieberstein,Paul Lieberstein,14-Mar-13,3.54
9,18,Promos,Jennifer Celotta,Tim McAuliffe,4-Apr-13,3.44
9,19,Stairmageddon,Matt Sohn,Dan Sterling,11-Apr-13,3.83
9,20,Paper Airplane,Jesse Peretz,Halsted Sullivan & Warren Lieberstein,25-Apr-13,3.25
9,21,Livin' the Dream,Jeffrey Blitz,Niki Schwartz-Wright,2-May-13,3.51
9,22,A.A.R.M.,David Rogers,Brent Forrester,9-May-13,4.56
9,23,A.A.R.M.,David Rogers,Brent Forrester,9-May-13,4.56
9,24,Finale,Ken Kwapis,Greg Daniels,16-May-13,5.69
9,25,Finale,Ken Kwapis,Greg Daniels,16-May-13,5.69
