Symbol,Security,Sector,Industry,HQ,Founded
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1965
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1946)
AON,Aon,Financials,Insurance Brokers,"London, UK",1982 (1919)
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",1967
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1994
ANET,Arista,Information Technology,Communications Equipment,"Santa Clara, California",2004
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",1892
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",1906
ADSK,Autodesk,Information Technology,Application Software,"San Rafael, California",1982
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",1978
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California",1990
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
BLL,Ball,Materials,Metal & Glass Containers,"Broomfield, Colorado",1880
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",1998 (1923 / 1874)
BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",1963
BAX,Baxter,Health Care,Health Care Equipment,"Deerfield, Illinois",1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1897
WRB,Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",1967
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1839
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1966
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California",1952
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",1976
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",1988
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1784
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois",1916
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1979
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York",1989
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",1961
BR,Broadridge,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1962
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",1939
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1870
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1905
CDNS,Cadence,Information Technology,Application Software,"San Jose, California",1988
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",1973
CPT,Camden,Real Estate,Residential REITs,"Houston, Texas",1981
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1994
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1971
KMX,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1972
CARR,Carrier,Industrials,Building Products,"Palm Beach Gardens, Florida",2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2007
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1925
CBOE,Cboe,Financials,Financial Exchanges & Data,"Chicago, Illinois",1973
CBRE,CBRE,Real Estate,Real Estate Services,"Dallas, Texas",1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",1918
CNC,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1882
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",1992
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",1979
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1946
CRL,Charles River,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1947
SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,"Westlake, Texas",1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993
CVX,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",1993
CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",1847
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1950
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",1929
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1984
C,Citigroup,Financials,Diversified Banks,"New York City, New York",1998
CFG,Citizens,Financials,Regional Banks,"Providence, Rhode Island",1828
CTXS,Citrix,Information Technology,Application Software,"Fort Lauderdale, Florida",1989
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1913
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1886
KO,Coca-Cola,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1886
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1806
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
ED,Con Edison,Utilities,Electric Utilities,"New York City, New York",1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",1945
CEG,Constellation Energy,Utilities,Multi-Utilities,"Baltimore, Maryland",1999
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California",1958
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",1982
GLW,Corning,Information Technology,Electronic Components,"Corning, New York",1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1976
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2021 (1989)
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",1994
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1980
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978
DHR,Danaher,Health Care,Health Care Equipment,"Washington, D.C.",1969
DRI,Darden,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",1979
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2016 (1969)
DVN,Devon,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1971
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",1999
FANG,Diamondback,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",2004
DFS,Discover,Financials,Consumer Finance,"Riverwoods, Illinois",1985
DISH,Dish,Communication Services,Cable & Satellite,"Meridian, Colorado",1980
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",1923
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",1983
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1960
DOV,Dover,Industrials,Industrial Machinery,"Downers Grove, Illinois",1955
DOW,Dow,Materials,Commodity Chemicals,"Midland, Michigan",2019
DTE,DTE,Utilities,Multi-Utilities,"Detroit, Michigan",1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1904
DRE,Duke Realty,Real Estate,Industrial REITs,"Indianapolis, Indiana",1972
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017
EMN,Eastman,Materials,Diversified Chemicals,"Kingsport, Tennessee",1920
ETN,Eaton,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1923
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982
EMR,Emerson,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",2006
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999
EPAM,EPAM,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1993
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",1969
ESS,Essex,Real Estate,Residential REITs,"San Mateo, California",1971
EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York City, New York",1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2005
RE,Everest,Financials,Reinsurance,"Hamilton, Bermuda",1973
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1909
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",1966
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1996
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1977
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1999
FFIV,F5,Information Technology,Communications Equipment,"Seattle, Washington",1996
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1978
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",1967
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",1962
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",1858
FRC,First Republic,Financials,Regional Banks,"San Francisco, California",1985
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",1984
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2000
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",1883
F,Ford,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",2016
FBHS,Fortune Brands,Industrials,Building Products,"Deerfield, Illinois",2011 (1969)
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2019
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",1912
AJG,Gallagher,Financials,Insurance Brokers,"Rolling Meadows, Illinois",1927
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",1979
GE,GE,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1959
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
GILD,Gilead,Health Care,Biotechnology,"Foster City, California",1987
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1900
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2000
GM,GM,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1908
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",1869
GWW,Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1927
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1810
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",1968
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California",1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",1932
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
HES,Hess,Energy,Integrated Oil & Gas,"New York City, New York",1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
HLT,Hilton,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",1985
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1906
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",1961
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
HBAN,Huntington National Bank,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1866
IEX,IDEX,Industrials,Industrial Machinery,"Lake Forest, Illinois",1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California",1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Davidson, North Carolina",1859
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2000
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1911
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1898
IPG,Interpublic Group,Communication Services,Advertising,"New York City, New York",1961 (1930)
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1958 (1889)
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",1935
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",1990
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1982
IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",1951
JBHT,J.B. Hunt,Industrials,Trucking,"Lowell, Arkansas",1961
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",1976
J,Jacobs,Industrials,Construction & Engineering,"Dallas, Texas",1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1886
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",1885
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",2000 (1799 / 1871)
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",1996
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1906
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1825
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2014
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1872
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",1958
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1997
KLAC,KLA,Information Technology,Semiconductor Equipment,"Milpitas, California",1975/1977 (1997)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1883
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",2019 (1895)
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",1978
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",1980
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2016 (1950)
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1988
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",1969
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",1954
LLY,Lilly,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1876
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1905
LIN,Linde,Materials,Industrial Gases,"Guildford, England",1879
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2010
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",1998
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1995
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",1959
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
LUMN,Lumen,Communication Services,Alternative Carriers,"Monroe, Louisiana",1983 (1877)
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2007
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",1856
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1887
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2009 (1887)
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",2000
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",1927
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York City, New York",1905
MLM,Martin Marietta,Materials,Construction Materials,"Raleigh, North Carolina",1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",1929
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",1986
MKC,McCormick,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",1940
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",1949
MRK,Merck,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1891
FB,Meta,Communication Services,Interactive Media & Services,"Menlo Park, California",2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",1986
MCHP,Microchip,Information Technology,Semiconductors,"Chandler, Arizona",1989
MU,Micron,Information Technology,Semiconductors,"Boise, Idaho",1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1975
MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",1980
TAP,Molson Coors,Consumer Staples,Brewers,"Chicago, Illinois","2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012 (1935)
MCO,Moody's,Financials,Financial Exchanges & Data,"New York City, New York",1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1935
MOS,Mosaic,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",1969
NDAQ,Nasdaq,Financials,Financial Exchanges & Data,"New York City, New York",1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1903
NEM,Newmont,Materials,Gold,"Denver, Colorado",1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013 (1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2013 (1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1984 (1925)
NLSN,Nielsen,Industrials,Research & Consulting Services,"New York City, New York",1923
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",1912
